Success_Nodes,Fail_Nodes,Skipped_Nodes,Data_Collected_KB,Total_Time,Total_Energy,Total_Flight_Distance,Total_Comm_Latency,Attempts,Retry_Sum,Total_Waypoints,Success_Rate,Avg_Comm_Latency,Eff_Data_Per_Time,Eff_Data_Per_Energy,Avg_Retry_Per_Node,Strategy,Node_File,Num_Nodes
49,1,0,3013.4410028791117,2186.2917388152237,2623.761972025839,5.297136189288307,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783343500680882,1.14851920067749,0.7706422018348624,baseline,data1014,50
44,6,1,2611.012716494703,1005.4868822424537,1206.7961441385162,5.297136189288307,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967645750599737,2.1635905361287024,0.5,lya,data1014,50
49,1,0,3013.4410028791117,2186.337703312032,2623.8539010194554,6.216426125464563,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783053726394237,1.1484789613127044,0.7706422018348624,baseline,data1015,50
44,6,1,2611.012716494703,1005.5328467392624,1206.8880731321342,6.216426125464563,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5966458728441184,2.1634257348476096,0.5,lya,data1015,50
49,1,0,3013.4410028791117,2186.2940261818703,2623.766546759134,5.342883522241207,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.378332908013185,1.1485171981483269,0.7706422018348624,baseline,data1016,50
44,6,1,2611.012716494703,1005.4891696091012,1206.8007188718113,5.342883522241207,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967586677336096,2.163582334402015,0.5,lya,data1016,50
49,1,0,3013.4410028791117,2186.3168328870047,2623.812160169402,5.799017624922912,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783185298445055,1.148497231861504,0.7706422018348624,baseline,data1017,50
44,6,1,2611.012716494703,1005.5119763142352,1206.8463322820799,5.799017624922912,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596699768873492,2.1635005606367645,0.5,lya,data1017,50
49,1,0,3013.4410028791117,2186.3101066030517,2623.798707601497,5.664491945873405,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783227703050793,1.1485031203608602,0.7706422018348624,baseline,data1018,50
44,6,1,2611.012716494703,1005.5052500302828,1206.832879714175,5.664491945873405,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967171393844706,2.1635246771807313,0.5,lya,data1018,50
49,1,0,3013.4410028791117,2186.330318666209,2623.8391317278115,6.068733209009869,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.37831002806451,1.1484854259699775,0.7706422018348624,baseline,data1019,50
44,6,1,2611.012716494703,1005.5254620934401,1206.8733038404885,6.068733209009869,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596664942783985,2.1634522100919704,0.5,lya,data1019,50
49,1,0,3013.4410028791117,2186.2939242734824,2623.766342942356,5.340845354460851,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.378332972260578,1.1485172873662846,0.7706422018348624,baseline,data1020,50
44,6,1,2611.012716494703,1005.4890677007123,1206.8005150550332,5.340845354460851,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967589309204513,2.1635826998098637,0.5,lya,data1020,50
58,42,0,2497.29783628345,2495.3599847440223,2994.7242929499903,7.307781429110748,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007765819566217,0.833899081181679,0.7550200803212851,baseline,data31,100
77,23,11,2192.5034410075496,1844.75039595347,2213.992786401328,7.307781429110748,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.18850953810168,0.990293850311632,0.45652173913043476,lya,data31,100
58,42,0,2497.29783628345,2495.384971902182,2994.7742672663117,7.807524592312476,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007665608324194,0.8338851657634391,0.7550200803212851,baseline,data32,100
77,23,11,2192.5034410075496,1844.7753831116308,2214.0427607176484,7.807524592312476,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884934399489855,0.99027149787156,0.45652173913043476,lya,data32,100
58,42,0,2497.29783628345,2495.393617519129,2994.7915585002015,7.98043693123136,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007630935460252,0.8338803511033345,0.7550200803212851,baseline,data33,100
77,23,11,2192.5034410075496,1844.7840287285758,2214.06005195154,7.98043693123136,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884878700509034,0.99026376410839,0.45652173913043476,lya,data33,100
58,42,0,2497.29783628345,2495.3799262159223,2994.764175893791,7.706610867115224,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007685843936542,0.8338879756828026,0.7550200803212851,baseline,data34,100
77,23,11,2192.5034410075496,1844.7703374253697,2214.032669345128,7.706610867115224,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884966906327696,0.9902760114447876,0.45652173913043476,lya,data34,100
58,42,0,2497.29783628345,2495.389492162074,2994.783307786096,7.897929790171599,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007647479992081,0.8338826484676737,0.7550200803212851,baseline,data35,100
77,23,11,2192.5034410075496,1844.7799033715232,2214.051801237436,7.897929790171599,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.188490527786283,0.9902674543487,0.45652173913043476,lya,data35,100
58,42,0,2497.29783628345,2495.3850984587666,2994.7745203794852,7.8100557240386355,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007665100772882,0.8338850952849042,0.7550200803212851,baseline,data36,100
77,23,11,2192.5034410075496,1844.775509668217,2214.043013830822,7.8100557240386355,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884933584151232,0.9902713846620333,0.45652173913043476,lya,data36,100
