Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,Node_File,Strategy,Num_Nodes
282.25840889410824,1110.6360824859164,12,2,1,0,data1504,lya,150
292.2866422770137,1122.8351772849317,13,1,1,0,data1504,lya,150
302.3296050896146,1141.5716453105479,14,1,1,0,data1504,lya,150
312.36963193510115,1159.623496637715,15,1,1,0,data1504,lya,150
322.4025805224084,1174.5189886678943,16,1,1,0,data1504,lya,150
392.44940193558466,1195.9073131468365,18,2,1,0,data1504,lya,150
402.4757360350291,1207.9494562026573,19,1,1,0,data1504,lya,150
462.50973408882265,1221.9384929404878,21,1,1,0,data1504,lya,150
482.5417771458787,1235.8500869243517,22,2,1,0,data1504,lya,150
492.5852747663967,1256.3439711842875,23,1,1,0,data1504,lya,150
502.6272335993107,1275.4710529292277,24,1,1,0,data1504,lya,150
522.6683626634081,1294.5386011092307,25,2,1,0,data1504,lya,150
582.7046530395567,1309.6436203173946,27,1,1,0,data1504,lya,150
632.7448627730928,1328.0533851738694,28,5,1,0,data1504,lya,150
652.772656552349,1341.5020513909021,29,2,1,0,data1504,lya,150
712.811028540351,1355.8513361190637,31,1,1,0,data1504,lya,150
782.8519166763064,1373.8271212462482,33,2,1,0,data1504,lya,150
813.468733322122,1681.0011192247039,34,3,1,0,data1504,lya,150
833.5201841553708,1706.4630556031311,35,2,1,0,data1504,lya,150
863.5422915969644,1716.4329686956326,36,3,1,0,data1504,lya,150
883.5627821277659,1725.362025631694,37,2,1,0,data1504,lya,150
913.6067733771285,1746.1525799991944,38,3,1,0,data1504,lya,150
933.6461336156727,1765.110893469009,39,2,1,0,data1504,lya,150
993.6857897066097,1783.2526210153303,41,1,1,0,data1504,lya,150
1003.7194814046779,1798.1913871510958,42,1,1,0,data1504,lya,150
1063.7562170664355,1813.5704099420643,44,1,1,0,data1504,lya,150
1123.8017865669633,1833.446008609153,46,1,1,0,data1504,lya,150
1133.834960705017,1847.7107217016423,47,1,1,0,data1504,lya,150
1143.8584928308555,1858.5832357176798,48,1,1,0,data1504,lya,150
1153.8883412254984,1871.9763065094148,49,1,1,0,data1504,lya,150
1203.924315366676,1889.040963780793,50,5,1,0,data1504,lya,150
1213.954116192089,1901.222341016773,51,1,1,0,data1504,lya,150
1223.9785098846842,1912.111239038941,52,1,1,0,data1504,lya,150
1254.0112705656509,1928.3296750964005,53,3,1,0,data1504,lya,150
1264.046521909299,1944.554507951944,54,1,1,0,data1504,lya,150
1274.0729054626725,1957.0197920750884,55,1,1,0,data1504,lya,150
1294.1022553723183,1969.6646005469968,56,2,1,0,data1504,lya,150
1324.1384687290345,1985.824850233785,57,3,1,0,data1504,lya,150
1334.1598261379095,1993.5844285262983,58,1,1,0,data1504,lya,150
1354.178696587553,2001.5471096544156,59,2,1,0,data1504,lya,150
1364.2048362541402,2012.9548885481533,60,1,1,0,data1504,lya,150
1414.2338865067734,2026.887652789594,61,5,1,0,data1504,lya,150
1434.271432289436,2043.4421906175842,62,2,1,0,data1504,lya,150
1454.3196964151646,2065.818971702332,63,2,1,0,data1504,lya,150
1484.3638062446878,2085.107269818342,64,3,1,0,data1504,lya,150
1504.3955654368194,2099.307577168525,65,2,1,0,data1504,lya,150
1524.4259945460158,2114.2124961290115,66,2,1,0,data1504,lya,150
1544.4488621381786,2124.199849305822,67,2,1,0,data1504,lya,150
1575.2606078937702,2528.7245652729557,68,3,1,0,data1504,lya,150
1585.293653652222,2542.281272078355,69,1,1,0,data1504,lya,150
1595.3302566941236,2558.8948648800456,70,1,1,0,data1504,lya,150
1606.1625609591144,2974.2620953306578,71,1,1,0,data1504,lya,150
1676.1673933282686,2974.2620953306578,73,2,0,1,data1504,lya,150
1686.1969143348701,2988.7182945883733,74,1,1,0,data1504,lya,150
1696.2319126153868,3005.726853198868,75,1,1,0,data1504,lya,150
1716.236605170964,3005.726853198868,76,2,0,1,data1504,lya,150
1736.268584143622,3018.7207508394386,77,2,1,0,data1504,lya,150
1756.2715872275312,3018.7207508394386,78,2,0,1,data1504,lya,150
1776.3074810275366,3033.7837128433475,79,2,1,0,data1504,lya,150
1786.3430849970525,3049.2720933360915,80,1,1,0,data1504,lya,150
1797.4025943619881,3577.041111137756,81,1,1,0,data1504,lya,150
1817.4384268052095,3592.1636620090508,82,2,1,0,data1504,lya,150
1827.4737789030673,3609.6536534652782,83,1,1,0,data1504,lya,150
