scale,V,seed,strategy,total_time,energy,success_nodes,fail_nodes,skipped_nodes,collected_value
100,100000.0,1003,Lyapunov,1035.0589145164051,621.5468934098805,59,41,32,87.0
100,100000.0,1004,Baseline,4172.331106209722,2503.910208425869,100,0,0,140.0
100,100000.0,1004,Lyapunov,1149.316120409398,690.1012169456767,71,29,14,107.0
150,100.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,100.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,100.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,100.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,100.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,100.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,100.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,100.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,100.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,100.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
150,500.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,500.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,500.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,500.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,500.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,500.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,500.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,500.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,500.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,500.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
150,1000.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,1000.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,1000.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,1000.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,1000.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,1000.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,1000.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,1000.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,1000.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,1000.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
150,5000.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,5000.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,5000.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,5000.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,5000.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,5000.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,5000.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,5000.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,5000.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,5000.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
150,10000.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,10000.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,10000.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,10000.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,10000.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,10000.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,10000.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,10000.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,10000.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,10000.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
150,50000.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,50000.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,50000.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,50000.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,50000.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,50000.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,50000.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,50000.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,50000.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,50000.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
150,100000.0,1000,Baseline,4998.866325489648,2999.9832354798527,127,23,0,175.0
150,100000.0,1000,Lyapunov,1644.895388700749,987.600673406497,95,55,35,131.0
150,100000.0,1001,Baseline,4995.65307848363,2998.055287276245,124,26,0,176.0
150,100000.0,1001,Lyapunov,1608.4633657314014,965.741459624889,95,55,38,119.0
150,100000.0,1002,Baseline,4994.551482100582,2997.3943294464193,133,17,0,189.0
150,100000.0,1002,Lyapunov,1620.4227318479604,972.9170792948236,97,53,37,137.0
150,100000.0,1003,Baseline,4997.78507770343,2999.334486808127,129,21,0,177.0
150,100000.0,1003,Lyapunov,1645.551496301512,987.9943379669554,101,49,32,141.0
150,100000.0,1004,Baseline,4995.46728385755,2997.9438105005956,111,39,0,163.0
150,100000.0,1004,Lyapunov,1566.335249815934,940.464590075608,95,55,41,127.0
