Success_Nodes,Fail_Nodes,Skipped_Nodes,Data_Collected_KB,Total_Time,Total_Energy,Total_Flight_Distance,Total_Comm_Latency,Attempts,Retry_Sum,Total_Waypoints,Success_Rate,Avg_Comm_Latency,Eff_Data_Per_Time,Eff_Data_Per_Energy,Avg_Retry_Per_Node,Strategy,LYA_V,Node_File,Num_Nodes
111,39,10,6756.9406790177845,2493.9814514758227,2993.151797865215,9.351402355729899,2493.5138813580365,248,115,150,0.74,10.054491457088856,2.709298689859678,2.257466755891562,0.4637096774193548,lya_V3.0,3.0,data1512,150
104,46,7,6483.422948521114,2493.4344160148307,2992.495355312023,9.351402355729899,2492.9668458970436,248,124,150,0.6933333333333334,10.052285668939692,2.6001979065017253,2.1665607390207953,0.5,lya_V4.0,4.0,data1512,150
49,101,0,2731.647381039433,2495.931505412554,2995.4923750154467,9.364213009528855,2495.463294762078,249,195,150,0.32666666666666666,10.02194094281959,1.0944400417702638,0.9119193237890806,0.7831325301204819,baseline,,data1513,150
104,32,8,4644.908332433846,2499.7144405865697,2999.997027841252,8.492478434107209,2499.289816664867,249,123,150,0.6933333333333334,10.037308500662116,1.8581755807850984,1.54830431141335,0.4939759036144578,lya_V0.5,0.5,data1513,150
109,41,10,4091.1448504624314,2498.6505003513976,2998.7551689420634,9.364213009528855,2498.1822897009242,249,117,150,0.7266666666666667,10.032860601208531,1.6373417770460788,1.364281049961726,0.46987951807228917,lya_V1.0,1.0,data1513,150
105,45,12,4542.871488713419,2499.5539536278993,2999.8393128738653,9.364213009528855,2499.0857429774264,249,118,150,0.7,10.036488927620187,1.8174728663567397,1.5143716095784208,0.4738955823293173,lya_V2.0,2.0,data1513,150
105,45,7,5061.511048589168,2490.591232747651,2989.084047817568,9.364213009528855,2490.1230220971775,248,123,150,0.7,10.040818637488618,2.0322528169366625,1.6933317924883209,0.4959677419354839,lya_V3.0,3.0,data1513,150
96,54,8,4221.012436511609,2498.9102355234972,2999.0668511485806,9.364213009528855,2498.442024873023,249,131,150,0.64,10.03390371434949,1.6891412810702053,1.4074419297772733,0.5261044176706827,lya_V4.0,4.0,data1513,150
48,102,0,3933.389433805024,2498.3300146324914,2998.3666061708955,9.264715297640695,2497.8667788676103,249,198,150,0.32,10.031593489428154,1.5744074684959635,1.3118440639346007,0.7951807228915663,baseline,,data1514,150
109,24,12,4657.272587402684,2499.7256637075575,2999.999691275271,8.222370655026715,2499.3145451748064,249,117,150,0.7266666666666667,10.037407811947014,1.863113482819184,1.5524243555581574,0.46987951807228917,lya_V0.5,0.5,data1514,150
109,41,7,5112.84976465808,2490.688935294198,2989.197310964946,9.264715297640695,2490.2256995293164,248,117,150,0.7266666666666667,10.041232659392405,2.0527853527619073,1.7104423806027027,0.4717741935483871,lya_V1.0,1.0,data1514,150
114,36,12,4332.591729540921,2499.128419223966,2999.324691680665,9.264715297640695,2498.665183459083,249,110,150,0.76,10.034799933570614,1.7336410951167869,1.4445224091804354,0.44176706827309237,lya_V2.0,2.0,data1514,150
102,48,12,4135.231757301278,2498.733699279486,2998.8510277472888,9.264715297640695,2498.2704635146038,249,117,150,0.68,10.033214712910056,1.654930959026838,1.3789387065377599,0.46987951807228917,lya_V3.0,3.0,data1514,150
105,45,13,5492.2106569509,2491.447657078785,2990.1077771064474,9.264715297640695,2490.9844213139036,248,120,150,0.7,10.044292021427031,2.2044254637845775,1.8367935426948918,0.4838709677419355,lya_V4.0,4.0,data1514,150
67,83,0,4410.5149914649965,2499.278746011153,2999.5006680359606,9.154320564435913,2498.8210299829298,249,180,150,0.44666666666666666,10.035425823224617,1.7647151197137074,1.4704164057922855,0.7228915662650602,baseline,,data1515,150
92,58,16,3094.1332029519217,2496.645982434125,2996.3413517435274,9.154320564435913,2496.1882664059026,249,126,150,0.6133333333333333,10.024852475525714,1.2393159561754412,1.032637086275731,0.5060240963855421,lya_V0.5,0.5,data1515,150
102,48,10,4166.590760659199,2498.79089754954,2998.9152498820254,9.154320564435913,2498.3331815213182,249,120,150,0.68,10.033466592455094,1.6674427479086789,1.3893659585155362,0.4819277108433735,lya_V1.0,1.0,data1515,150
107,43,19,5134.537914694639,2490.7267918576117,2989.2383230517094,9.154320564435913,2490.2690758293893,248,112,150,0.7133333333333334,10.041407563828182,2.061461711288392,1.717674323622613,0.45161290322580644,lya_V2.0,2.0,data1515,150
107,43,4,5714.1245204144825,2491.8859650690515,2990.629330905438,9.154320564435913,2491.4282490408295,248,123,150,0.7133333333333334,10.046081649358184,2.2930923005765,1.9106762785224485,0.4959677419354839,lya_V3.0,3.0,data1515,150
103,47,10,5437.552082910866,2491.3328201940435,2989.9655570554287,9.154320564435913,2490.875104165821,248,121,150,0.6866666666666666,10.043851226475086,2.182587584780162,1.8186002410896882,0.4879032258064516,lya_V4.0,4.0,data1515,150
44,106,0,3462.3905046066016,2497.4054653893127,2997.271105971246,9.613687601934975,2496.924781009214,249,200,150,0.29333333333333333,10.027810365498851,1.386395021789888,1.1551809570074365,0.8032128514056225,baseline,,data1516,150
106,44,1,6359.584085342809,2493.199852550784,2992.2243705650144,9.613687601934975,2492.7191681706863,248,125,150,0.7066666666666667,10.051286968430187,2.550771884105617,2.125370058443159,0.5040322580645161,lya_V0.5,0.5,data1516,150
119,31,7,6276.082874129716,2493.032850128356,2992.023967658103,9.613687601934975,2492.5521657482595,248,111,150,0.7933333333333333,10.050613571565563,2.5174489272400025,2.097604478430061,0.4475806451612903,lya_V1.0,1.0,data1516,150
108,42,19,4978.838536532582,2490.4383614531625,2988.9105812478706,9.613687601934975,2489.957677073065,248,108,150,0.72,10.040151923681714,1.9991815953346648,1.6657703203867398,0.43548387096774194,lya_V2.0,2.0,data1516,150
92,58,21,4420.267466016319,2499.321219312131,2999.570010678631,9.613687601934975,2498.8405349320337,249,123,150,0.6133333333333333,10.035504156353548,1.7685871795354404,1.4736337042575864,0.4939759036144578,lya_V3.0,3.0,data1516,150
103,47,9,5475.673098215379,2491.432030576529,2990.10298419591,9.613687601934975,2490.951346196432,248,119,150,0.6866666666666666,10.04415865401787,2.197801517767387,1.8312657213336354,0.4798387096774194,lya_V4.0,4.0,data1516,150
73,30,0,4752.892352293498,2499.8017783651735,2999.9989289666764,5.919873211712563,2499.5057847045878,249,175,150,0.4866666666666667,10.0381758421871,1.9013076930450887,1.5842980163764895,0.7028112449799196,baseline,,data1517,150
99,51,7,4820.514634679124,2490.0984354548104,2988.4840474941334,9.14812370904278,2489.6410292693577,248,128,150,0.66,10.038875118021604,1.9358731229428965,1.6130300707882856,0.5161290322580645,lya_V0.5,0.5,data1517,150
113,37,10,4706.514089673268,2489.870434364799,2988.210446186119,9.14812370904278,2489.4130281793464,248,114,150,0.7533333333333333,10.037955758787687,1.8902646598452284,1.5750276543207444,0.4596774193548387,lya_V1.0,1.0,data1517,150
116,34,5,6146.310990607726,2492.750028166668,2991.6659587483614,9.14812370904278,2492.2926219812157,248,114,150,0.7733333333333333,10.049567024117804,2.465674825456978,2.0544776974964107,0.4596774193548387,lya_V2.0,2.0,data1517,150
98,52,13,3740.902136792836,2497.9392104590374,2997.892977499206,9.14812370904278,2497.481804273585,249,121,150,0.6533333333333333,10.030047406721225,1.4975953462475908,1.2478437905790205,0.4859437751004016,lya_V3.0,3.0,data1517,150
102,48,7,5671.876512228269,2491.801159209909,2990.527316000251,9.14812370904278,2491.3437530244564,248,123,150,0.68,10.045740939614744,2.2762155364060774,1.896614179673921,0.4959677419354839,lya_V4.0,4.0,data1517,150
