Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,LYA_V,Node_File,Num_Nodes
120.102017566361,43.84923289094836,4,1,1,0,0.5,data1504,150
140.14182490885216,62.40441533952462,5,2,1,0,0.5,data1504,150
150.17642991644348,77.71541196457044,6,1,1,0,0.5,data1504,150
160.22212043205877,98.10046407844838,7,1,1,0,0.5,data1504,150
170.2434951590799,107.83533630132834,8,1,1,0,0.5,data1504,150
190.2798073929071,125.01266634077763,9,2,1,0,0.5,data1504,150
200.3115717445711,139.26349346445988,10,1,1,0,0.5,data1504,150
221.10246629908292,533.6304504756058,11,2,1,0,0.5,data1504,150
281.14189568645315,550.4618820046328,13,1,1,0,0.5,data1504,150
301.1573855630028,555.4618820046328,14,2,1,0,0.5,data1504,150
321.19305606563427,571.3355619042433,15,2,1,0,0.5,data1504,150
341.2170709164193,581.764185673298,16,2,1,0,0.5,data1504,150
351.26609668053163,604.9688920863974,17,1,1,0,0.5,data1504,150
371.28886041199416,615.6365513515376,18,2,1,0,0.5,data1504,150
382.24818739693154,1094.1751371538242,19,1,1,0,0.5,data1504,150
392.2833014940986,1110.743573324695,20,1,1,0,0.5,data1504,150
443.3521469327955,1643.144914926854,21,5,1,0,0.5,data1504,150
503.3914779183796,1659.4455471756692,23,1,1,0,0.5,data1504,150
513.438968971448,1681.3387389977981,24,1,1,0,0.5,data1504,150
533.4724675990468,1696.5910689284385,25,2,1,0,0.5,data1504,150
543.4845793770211,1701.5910689284385,26,1,1,0,0.5,data1504,150
613.536147562118,1723.6957796863342,28,2,1,0,0.5,data1504,150
633.5370440089401,1723.6957796863342,29,2,0,1,0.5,data1504,150
653.5826087147398,1744.5368836851549,30,2,1,0,0.5,data1504,150
663.627585406515,1764.1297692009277,31,1,1,0,0.5,data1504,150
673.6568492661858,1777.1645945121143,32,1,1,0,0.5,data1504,150
693.6585916228383,1777.1645945121143,33,2,0,1,0.5,data1504,150
703.6803942951072,1786.8316057172074,34,1,1,0,0.5,data1504,150
723.7149597504969,1803.85085316604,35,2,1,0,0.5,data1504,150
733.7498367641682,1820.2055522973887,36,1,1,0,0.5,data1504,150
753.7972317048609,1842.5868141790497,37,2,1,0,0.5,data1504,150
763.831228460285,1858.3801215773055,38,1,1,0,0.5,data1504,150
824.7380664909975,2310.721000286062,40,1,1,0,0.5,data1504,150
844.7407264651515,2310.721000286062,41,2,0,1,0.5,data1504,150
864.7445406309482,2310.721000286062,42,2,0,1,0.5,data1504,150
884.7470879265494,2310.721000286062,43,2,0,1,0.5,data1504,150
894.7751891389856,2323.05644621699,44,1,1,0,0.5,data1504,150
914.811787710489,2340.216450610789,45,2,1,0,0.5,data1504,150
934.8153274509668,2340.216450610789,46,2,0,1,0.5,data1504,150
944.8439951752367,2352.2279568113995,47,1,1,0,0.5,data1504,150
954.877905395046,2368.28951781276,48,1,1,0,0.5,data1504,150
974.8942023137562,2374.906850638147,49,2,1,0,0.5,data1504,150
984.9338328383154,2393.7996996003367,50,1,1,0,0.5,data1504,150
994.967777014552,2408.0527522479683,51,1,1,0,0.5,data1504,150
1005.0138832374829,2429.7979154380073,52,1,1,0,0.5,data1504,150
1015.040036003585,2442.712394063127,53,1,1,0,0.5,data1504,150
1025.0600550364736,2451.32107153897,54,1,1,0,0.5,data1504,150
1035.0917428383543,2466.4384799156246,55,1,1,0,0.5,data1504,150
1095.1283559457847,2480.7684586085074,57,1,1,0,0.5,data1504,150
1105.175024186097,2501.1834526197244,58,1,1,0,0.5,data1504,150
1115.2071673437545,2515.7824877547214,59,1,1,0,0.5,data1504,150
1135.2346791502541,2527.8763366047187,60,2,1,0,0.5,data1504,150
1155.261092173246,2540.490486025492,61,2,1,0,0.5,data1504,150
1165.285022530091,2550.2373109447635,62,1,1,0,0.5,data1504,150
1225.331262495701,2568.835395324577,64,1,1,0,0.5,data1504,150
1245.3531656444216,2578.1076809691917,65,2,1,0,0.5,data1504,150
1255.381592412488,2592.0114293647866,66,1,1,0,0.5,data1504,150
1265.4134801288371,2606.5088446346927,67,1,1,0,0.5,data1504,150
1275.4467065670622,2621.773901918527,68,1,1,0,0.5,data1504,150
1316.263438931043,3027.173911488433,69,4,1,0,0.5,data1504,150
1336.2996368495728,3043.584942604295,70,2,1,0,0.5,data1504,150
1346.3238644387595,3054.9138351527163,71,1,1,0,0.5,data1504,150
1416.3286968079137,3054.9138351527163,73,2,0,1,0.5,data1504,150
1426.3479501470342,3064.2362006698986,74,1,1,0,0.5,data1504,150
1446.366809442046,3073.175266527983,75,2,1,0,0.5,data1504,150
1456.3885057210184,3081.6771282257405,76,1,1,0,0.5,data1504,150
1476.3944968983953,3081.6771282257405,77,2,0,1,0.5,data1504,150
1496.3974999823045,3081.6771282257405,78,2,0,1,0.5,data1504,150
1516.4032678583021,3081.6771282257405,79,2,0,1,0.5,data1504,150
1526.4347190331603,3095.0891113896114,80,1,1,0,0.5,data1504,150
1536.4852331550744,3118.3605076806116,81,1,1,0,0.5,data1504,150
1546.523956117544,3134.928318176034,82,1,1,0,0.5,data1504,150
1556.544150917249,3144.8396605559137,83,1,1,0,0.5,data1504,150
1566.5706775540834,3155.4962810599054,84,1,1,0,0.5,data1504,150
1576.6105853769584,3174.757676240831,85,1,1,0,0.5,data1504,150
1586.6448781771353,3189.770805365202,86,1,1,0,0.5,data1504,150
1596.6925064927566,3211.157559824301,87,1,1,0,0.5,data1504,150
1636.722996524119,3224.7861326357383,88,4,1,0,0.5,data1504,150
1666.7556165046835,3239.416718729575,89,3,1,0,0.5,data1504,150
1676.807917884445,3260.7215310307606,90,1,1,0,0.5,data1504,150
1686.8192986623,3265.7215310307606,91,1,1,0,0.5,data1504,150
1696.8665598772934,3288.2033311661617,92,1,1,0,0.5,data1504,150
1706.887299647073,3298.0424290447677,93,1,1,0,0.5,data1504,150
1726.9263967423512,3316.625720105252,94,2,1,0,0.5,data1504,150
1746.953181263017,3329.191436804645,95,2,1,0,0.5,data1504,150
1756.9888296951874,3345.7594240130447,96,1,1,0,0.5,data1504,150
1767.0186004300758,3360.0439822066514,97,1,1,0,0.5,data1504,150
1777.047675361976,3374.119672109185,98,1,1,0,0.5,data1504,150
1797.0643586427595,3381.7895029850533,99,2,1,0,0.5,data1504,150
1817.8096636843165,3753.8456611001516,100,2,1,0,0.5,data1504,150
1827.8276439407373,3760.5669975535516,101,1,1,0,0.5,data1504,150
1837.8637585878269,3775.9906023751832,102,1,1,0,0.5,data1504,150
1868.7456951764966,4215.789777391448,103,3,1,0,0.5,data1504,150
1888.7807247600472,4232.334821478849,104,2,1,0,0.5,data1504,150
1898.829220399324,4255.319215906749,105,1,1,0,0.5,data1504,150
1908.8637175764727,4271.270839959138,106,1,1,0,0.5,data1504,150
1918.8825370986767,4279.858683096472,107,1,1,0,0.5,data1504,150
1938.9292190788235,4299.407818544455,108,2,1,0,0.5,data1504,150
1948.973588325095,4321.228962382323,109,1,1,0,0.5,data1504,150
2009.0113675830316,4337.72019892666,111,1,1,0,0.5,data1504,150
2019.0425838740118,4352.021146967032,112,1,1,0,0.5,data1504,150
2029.0862813294136,4371.618589066665,113,1,1,0,0.5,data1504,150
2039.1155070632894,4384.084188880283,114,1,1,0,0.5,data1504,150
2089.8589272350346,4754.26695390567,115,5,1,0,0.5,data1504,150
2099.8735069913005,4759.26695390567,116,1,1,0,0.5,data1504,150
2130.73799678412,5191.256411348776,117,3,1,0,0.5,data1504,150
2140.7672570527857,5203.751780868559,118,1,1,0,0.5,data1504,150
2150.801686052351,5217.944185589005,119,1,1,0,0.5,data1504,150
2180.8508681910725,5238.761670733381,120,3,1,0,0.5,data1504,150
2200.8810078666174,5251.5308820233795,121,2,1,0,0.5,data1504,150
2250.9246851099274,5271.520115613163,122,5,1,0,0.5,data1504,150
2260.9510934899354,5283.029690663374,123,1,1,0,0.5,data1504,150
2280.9894776300075,5300.474063980853,124,2,1,0,0.5,data1504,150
2291.0199907304345,5313.365581629471,125,1,1,0,0.5,data1504,150
2341.063148958207,5332.420506496304,126,5,1,0,0.5,data1504,150
2361.1117050161142,5353.699260140622,127,2,1,0,0.5,data1504,150
2441.116923102995,5353.699260140622,129,3,0,1,0.5,data1504,150
2451.1331592870356,5361.417410501078,130,1,1,0,0.5,data1504,150
2461.957935260904,5773.090736415775,131,1,1,0,0.5,data1504,150
2471.989287079395,5786.881451492089,132,1,1,0,0.5,data1504,150
2482.0190898693168,5801.182769256641,133,1,1,0,0.5,data1504,150
10.04145454730159,20.584007811793732,0,1,1,0,1.0,data1504,150
80.66607117667685,328.322485145916,2,2,1,0,1.0,data1504,150
90.69665052413151,341.8845757428272,3,1,1,0,1.0,data1504,150
100.71749452102924,351.5877102250706,4,1,1,0,1.0,data1504,150
160.75479650621457,366.8987068501164,6,1,1,0,1.0,data1504,150
170.80048702182987,387.2837589639944,7,1,1,0,1.0,data1504,150
180.821861748851,397.01863118687436,8,1,1,0,1.0,data1504,150
190.85817398267818,414.1959612263237,9,1,1,0,1.0,data1504,150
220.88993833434216,428.44678835000593,10,3,1,0,1.0,data1504,150
231.68083288885398,822.8137453611519,11,1,1,0,1.0,data1504,150
